City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nova sintra,14.8667,-24.7167,74.82,74,2,15.79,CV,1715121843
84,pathein,16.7833,94.7333,83.28,76,53,9.33,MM,1715121843
85,djidiouia,35.9299,0.8287,64.04,71,0,5.75,DZ,1715121843
86,iqaluit,63.7506,-68.5145,31.73,59,20,8.05,CA,1715121785
87,hamilton,39.1834,-84.5333,79.21,81,100,12.66,US,1715121662
88,lethem,3.3803,-59.7968,77.49,89,100,2.35,GY,1715121843
89,enewetak,11.3474,162.3373,82.38,78,94,20.6,MH,1715121843
90,parintins,-2.6283,-56.7358,76.6,97,100,1.74,BR,1715121843
91,whitehorse,60.7161,-135.0538,46.02,42,75,17.27,CA,1715121843
92,grand falls-windsor,48.9332,-55.6649,50.5,88,80,6.64,CA,1715121844
93,vadso,70.0744,29.7487,28.56,86,75,5.75,NO,1715121844
94,ilulissat,69.2167,-51.1,24.82,74,100,3.44,GL,1715121844
95,afaahiti,-17.75,-149.2833,84.07,76,81,14.72,PF,1715121844
96,gamba,-2.65,10.0,79.07,91,100,4.9,GA,1715121844
97,duong dong,10.2167,103.9667,78.8,94,20,2.3,VN,1715121844
98,stanley,54.868,-1.6985,46.53,95,0,3.44,GB,1715121779
99,nuuk,64.1835,-51.7216,34.41,60,0,8.05,GL,1715121780
100,egilsstadir,65.2653,-14.3948,44.51,65,75,13.8,IS,1715121844
101,alice springs,-23.7,133.8833,53.15,82,90,4.61,AU,1715121815
102,hasaki,35.7333,140.8333,66.29,80,100,14.61,JP,1715121844
103,san rafael del yuma,18.4299,-68.6739,80.17,87,51,6.98,DO,1715121844
104,alo,7.4178,6.7371,81.55,77,100,3.42,NG,1715121845
105,zhanaozen,43.3,52.8,55.35,89,81,23.38,KZ,1715121680
106,totness,5.8833,-56.3167,80.28,86,78,12.17,SR,1715121845
107,ribeira grande,38.5167,-28.7,66.6,88,75,14.97,PT,1715121845
108,aur,8.1499,171.1687,82.13,84,76,20.94,MH,1715121845
109,walvis bay,-22.9575,14.5053,59.09,88,0,4.61,NA,1715121845
110,ust-nera,64.5667,143.2,36.05,80,100,4.72,RU,1715121812
111,gadzhiyevo,69.2551,33.3362,23.29,71,98,6.2,RU,1715121845
112,borsa,47.6553,24.6633,51.06,95,99,5.46,RO,1715121845
113,port elizabeth,-33.918,25.5701,68.09,88,75,20.71,ZA,1715121826
114,thompson,55.7435,-97.8558,55.56,47,40,17.27,CA,1715121784
115,codrington,-38.2667,141.9667,52.86,85,21,7.52,AU,1715121804
116,farah,32.5,62.5,78.73,28,0,1.45,AF,1715121846
117,mejit,10.2753,170.8646,81.81,79,72,19.33,MH,1715121846
118,island harbour,50.724,-1.2758,57.22,76,14,1.01,GB,1715121846
119,lazaro cardenas,17.9583,-102.2,82.18,57,98,14.0,MX,1715121846
120,sisimiut,66.9395,-53.6735,26.55,79,100,3.22,GL,1715121846
121,sanctuary point,-35.1114,150.629,61.32,79,89,5.3,AU,1715121846
122,la'ie,21.6477,-157.9253,82.36,72,23,8.01,US,1715121846
123,sur,22.5667,59.5289,90.93,54,4,11.32,OM,1715121846
124,ambon,-3.6954,128.1814,81.88,95,20,5.75,ID,1715121846
125,hermanus,-34.4187,19.2345,56.8,84,82,9.44,ZA,1715121847
126,okhotsk,59.3833,143.3,34.07,82,78,9.75,RU,1715121847
127,tazacorte,28.629,-17.9293,69.15,93,100,8.05,ES,1715121847
128,guerrero negro,27.9769,-114.0611,66.94,57,0,20.92,MX,1715121797
129,samana,19.2056,-69.3369,74.62,93,52,8.63,DO,1715121847
130,envira,-7.3,-70.2167,77.04,95,100,0.87,BR,1715121847
131,alaghsas,17.0187,8.0168,88.02,13,97,1.34,NE,1715121847
132,yeppoon,-23.1333,150.7333,75.25,84,58,18.34,AU,1715121847
133,udachny,66.4167,112.4,31.44,98,97,17.67,RU,1715121847
134,tiksi,71.6872,128.8694,29.43,98,100,8.86,RU,1715121847
135,paharpur,32.1038,70.9724,88.38,17,10,3.31,PK,1715121848
136,shady hills,28.41,-82.5429,88.25,68,0,9.22,US,1715121848
137,mena,51.5217,32.2157,37.02,92,2,5.53,UA,1715121848
138,langtoucun,40.0261,124.3286,56.91,68,0,1.63,CN,1715121848
139,el monte,34.0686,-118.0276,82.15,43,0,13.8,US,1715121731
140,qaqortoq,60.7167,-46.0333,32.34,66,90,1.21,GL,1715121838
141,forster,-32.1667,152.5167,62.38,100,88,2.08,AU,1715121848
142,vakarai,55.6035,23.8213,34.32,69,1,6.46,LT,1715121848
143,chifeng,42.2683,118.9636,59.77,32,53,4.72,CN,1715121559
144,farasan,16.7022,42.1183,84.58,72,14,9.62,SA,1715121848
145,riohacha,11.5444,-72.9072,86.11,84,20,10.36,CO,1715121848
146,muromtsevo,56.3724,75.2418,39.6,93,30,6.04,RU,1715121848
147,palmer,42.1584,-72.3287,79.97,19,40,11.5,US,1715121849
148,pokrovsk,48.282,37.1758,55.45,76,100,6.64,UA,1715121602
149,hinthada,17.6333,95.4667,84.34,66,85,3.09,MM,1715121849
150,vila franca do campo,37.7167,-25.4333,64.89,99,31,8.48,PT,1715121849
151,aasiaat,68.7098,-52.8699,24.55,94,100,5.73,GL,1715121849
152,port alfred,-33.5906,26.891,67.17,94,66,5.01,ZA,1715121849
153,cao bang,22.6667,106.25,73.49,98,100,1.1,VN,1715121849
154,ginir,7.1333,40.7,58.3,92,19,5.93,ET,1715121849
155,kismayo,-0.3582,42.5454,79.3,86,100,9.89,SO,1715121849
156,fort mcmurray,56.7268,-111.381,51.39,87,100,8.05,CA,1715121850
157,metlili chaamba,32.2667,3.6333,79.74,21,20,4.61,DZ,1715121850
158,loreto,22.2667,-101.9667,87.51,10,100,8.1,MX,1715121850
159,khadan khak,30.7477,67.7085,66.22,34,1,3.44,PK,1715121850
160,kikwit,-5.041,18.8162,76.33,55,76,1.97,CD,1715121850
161,kapuskasing,49.4169,-82.4331,62.69,39,75,14.97,CA,1715121850
162,narvik,68.4384,17.4272,36.81,66,0,10.02,NO,1715121625
163,ruskin,27.7209,-82.4332,88.32,68,0,9.22,US,1715121850
164,as sulayyil,20.4607,45.5779,84.45,18,34,3.85,SA,1715121850
165,portage la prairie,49.9728,-98.2926,56.89,81,100,21.85,CA,1715121746
166,brezina,33.0989,1.2608,67.12,33,2,20.24,DZ,1715121850
167,general acha,-37.377,-64.6043,59.32,74,83,5.7,AR,1715121851
168,ust'-ilimsk,58.0006,102.6619,36.45,72,19,4.0,RU,1715121575
169,sitka,57.0531,-135.33,48.09,66,100,13.8,US,1715121792
170,grants pass,42.439,-123.3284,63.18,37,20,8.05,US,1715121851
171,vrangel',42.7297,133.0839,43.59,77,58,5.06,RU,1715121851
172,keflavik,64.0049,-22.5624,39.63,81,75,14.97,IS,1715121851
173,laguna de perlas,12.3429,-83.6712,82.49,77,68,8.25,NI,1715121851
174,isafjordur,66.0755,-23.124,37.44,87,100,2.3,IS,1715121789
175,kokoda,-8.8785,147.7407,78.08,93,100,2.24,PG,1715121851
176,vorgashor,67.5833,63.95,-2.2,100,70,4.85,RU,1715121851
177,puerto santa,-8.9906,-78.6456,67.35,86,95,12.53,PE,1715121851
